Age,90NJune,60NJune,30NJune,0 June,30SJune,60SJune,90SJune
-257,536.89,484.39,476.06,381.9,207.61,19.43,0
-258,540.52,488.32,481.01,386.55,210.75,20.22,0
-259,544.23,492.42,486.26,391.54,214.15,21.1,0
-260,547.68,496.35,491.45,396.54,217.62,22.05,0
-261,550.57,499.84,496.28,401.29,221,23.03,0
-262,552.69,502.66,500.49,405.58,224.14,24.02,0
-263,553.91,504.69,503.9,409.22,226.94,24.98,0
-264,554.19,505.83,506.39,412.1,229.3,25.89,0
-265,553.51,506.07,507.91,414.14,231.15,26.71,0
-266,551.93,505.42,508.43,415.31,232.47,27.43,0
-267,549.53,503.94,507.98,415.59,233.21,28.03,0
-268,546.39,501.68,506.59,415.02,233.39,28.48,0
-269,542.63,498.72,504.32,413.61,233.01,28.79,0
-270,538.32,495.15,501.25,411.44,232.08,28.94,0
-271,533.6,491.06,497.47,408.56,230.67,28.94,0
-272,528.6,486.58,493.11,405.1,228.81,28.8,0
-273,523.48,481.87,488.35,401.19,226.61,28.53,0
-274,518.44,477.12,483.38,397.01,224.16,28.14,0
-275,513.74,472.58,478.46,392.78,221.59,27.67,0
-276,509.64,468.5,473.89,388.74,219.07,27.13,0
-277,506.47,465.19,469.98,385.18,216.75,26.57,0
-278,504.52,462.94,467.04,382.35,214.78,26.01,0
-279,504.09,462.02,465.37,380.51,213.33,25.47,0
-280,505.4,462.66,465.2,379.85,212.49,24.97,0
-281,508.61,465.01,466.68,380.51,212.37,24.53,0
-282,513.76,469.1,469.87,382.53,212.99,24.17,0
-283,520.75,474.85,474.68,385.86,214.31,23.87,0
-284,529.33,482.05,480.92,390.33,216.26,23.63,0
-285,539.11,490.33,488.24,395.67,218.68,23.45,0
-286,549.55,499.23,496.16,401.51,221.39,23.3,0
-287,560,508.14,504.13,407.39,224.13,23.17,0
-288,569.72,516.44,511.52,412.84,226.66,23.05,0
-289,578,523.46,517.72,417.36,228.72,22.9,0
-290,584.15,528.62,522.15,420.52,230.07,22.73,0
-291,587.64,531.44,524.38,421.96,230.55,22.52,0
-292,588.14,531.62,524.12,421.49,230.05,22.28,0
-293,585.52,529.08,521.32,419.05,228.56,22,0
-294,579.97,523.97,516.14,414.79,226.15,21.7,0
-295,571.89,516.67,508.94,409,222.99,21.39,0
-296,561.92,507.74,500.29,402.14,219.33,21.11,0
-297,550.83,497.9,490.87,394.75,215.46,20.86,0
-298,539.5,487.91,481.45,387.43,211.7,20.69,0
-299,528.8,478.56,472.76,380.78,208.37,20.61,0
-300,519.51,470.57,465.52,375.36,205.77,20.66,0
-301,512.3,464.52,460.29,371.62,204.14,20.85,0
-302,507.67,460.85,457.52,369.92,203.69,21.2,0
-303,505.88,459.83,457.44,370.44,204.49,21.72,0
